"draw_date","prize1","prize2_1","prize2_2","prize3_1","prize3_2","prize3_3","prize3_4","prize3_5","prize3_6","prize4_1","prize4_2","prize4_3","prize4_4","prize5_1","prize5_2","prize5_3","prize5_4","prize5_5","prize5_6","prize6_1","prize6_2","prize6_3","prize7_1","prize7_2","prize7_3","prize7_4","special_prize"
"2005-12-06T00:00:00.000Z","10810","18063 "," 38219","25293 "," 09759 "," 37511 "," 72727 "," 86421 "," 11929","0792 "," 1269 "," 5863 "," 0103","6977 "," 9301 "," 2934 "," 3389 "," 1887 "," 5105","651 "," 541 "," 950","10 "," 12 "," 45 "," 86","75343"
"2005-12-07T00:00:00.000Z","15975","56748 "," 76343","01023 "," 89269 "," 43183 "," 38013 "," 15101 "," 89784","9395 "," 9136 "," 4591 "," 1179","0582 "," 6177 "," 3596 "," 0885 "," 8296 "," 8167","183 "," 760 "," 717","37 "," 54 "," 53 "," 15","83110"
"2005-12-08T00:00:00.000Z","36137","72013 "," 59906","68563 "," 26277 "," 02443 "," 26587 "," 65935 "," 35834","4130 "," 5955 "," 9568 "," 3459","0842 "," 2949 "," 7151 "," 5966 "," 2837 "," 1565","188 "," 864 "," 254","83 "," 54 "," 11 "," 74","72225"
"2005-12-09T00:00:00.000Z","09451","36203 "," 17377","34216 "," 03803 "," 09333 "," 56343 "," 70879 "," 53529","2705 "," 7146 "," 9945 "," 2726","3656 "," 9890 "," 4512 "," 8958 "," 7195 "," 7329","409 "," 397 "," 517","79 "," 74 "," 25 "," 18","61217"
"2005-12-10T00:00:00.000Z","82453","47459 "," 43214","96740 "," 20116 "," 77302 "," 23950 "," 62836 "," 28243","8050 "," 1785 "," 2708 "," 5465","3859 "," 1044 "," 0999 "," 5301 "," 9015 "," 0239","517 "," 670 "," 501","69 "," 52 "," 29 "," 32","91298"
"2005-12-11T00:00:00.000Z","81895","27596 "," 66491","76528 "," 78945 "," 50058 "," 66915 "," 43159 "," 52956","0540 "," 4117 "," 9858 "," 3167","7189 "," 7090 "," 7364 "," 7659 "," 8109 "," 1986","508 "," 544 "," 638","76 "," 13 "," 64 "," 92","45352"
"2005-12-12T00:00:00.000Z","15342","13852 "," 32706","96443 "," 54182 "," 20237 "," 72883 "," 30348 "," 03592","8557 "," 7704 "," 3071 "," 0154","6133 "," 8929 "," 3676 "," 8733 "," 8891 "," 4373","902 "," 453 "," 485","62 "," 36 "," 92 "," 63","55418"
"2005-12-13T00:00:00.000Z","12296","99434 "," 56202","02918 "," 72925 "," 10135 "," 17778 "," 59025 "," 75257","1291 "," 6461 "," 4091 "," 0049","6645 "," 5585 "," 1548 "," 3325 "," 2014 "," 5759","849 "," 053 "," 669","79 "," 57 "," 65 "," 41","14938"
"2005-12-14T00:00:00.000Z","01424","16893 "," 37551","83474 "," 33404 "," 58743 "," 91165 "," 29298 "," 66756","6823 "," 9644 "," 1782 "," 2019","4418 "," 2175 "," 9042 "," 3009 "," 5449 "," 6685","070 "," 375 "," 097","13 "," 41 "," 63 "," 22","17124"
"2005-12-15T00:00:00.000Z","40510","86578 "," 89116","14324 "," 68408 "," 87119 "," 04649 "," 77711 "," 70327","7070 "," 5902 "," 7662 "," 5570","5068 "," 1635 "," 9884 "," 1948 "," 5647 "," 4582","769 "," 991 "," 097","26 "," 86 "," 76 "," 27","24605"
"2005-12-16T00:00:00.000Z","76573","05404 "," 71525","67382 "," 44413 "," 75513 "," 13047 "," 14536 "," 71971","9686 "," 6226 "," 4214 "," 3902","7288 "," 9226 "," 6534 "," 5955 "," 8291 "," 0764","494 "," 928 "," 592","15 "," 96 "," 92 "," 98","28448"
"2005-12-17T00:00:00.000Z","93224","70402 "," 10254","50665 "," 48407 "," 72408 "," 89617 "," 59485 "," 63958","9207 "," 1148 "," 5386 "," 7405","4568 "," 7820 "," 9790 "," 7545 "," 8142 "," 1445","189 "," 201 "," 447","23 "," 28 "," 32 "," 61","36066"
"2005-12-18T00:00:00.000Z","88158","82262 "," 68934","92429 "," 85167 "," 11579 "," 09469 "," 27302 "," 50345","6977 "," 4889 "," 5868 "," 6369","8673 "," 6328 "," 1418 "," 3734 "," 7486 "," 4075","381 "," 761 "," 345","48 "," 67 "," 44 "," 65","95323"
"2005-12-19T00:00:00.000Z","77159","80050 "," 37666","19702 "," 34992 "," 55183 "," 61865 "," 11931 "," 45569","8233 "," 3311 "," 5952 "," 2170","6962 "," 8721 "," 2646 "," 4823 "," 2605 "," 1969","754 "," 707 "," 440","40 "," 59 "," 88 "," 68","93886"
"2005-12-20T00:00:00.000Z","43105","49605 "," 42926","88497 "," 57475 "," 11182 "," 64009 "," 14293 "," 53584","2953 "," 1942 "," 2986 "," 1240","3773 "," 8278 "," 5171 "," 2279 "," 5457 "," 7081","230 "," 165 "," 476","56 "," 19 "," 69 "," 11","35292"
"2005-12-21T00:00:00.000Z","54214","20030 "," 90752","67399 "," 23093 "," 24346 "," 25447 "," 44044 "," 20904","4767 "," 2616 "," 7361 "," 2723","2714 "," 3393 "," 2630 "," 4765 "," 2101 "," 4973","629 "," 769 "," 896","34 "," 73 "," 67 "," 76","45087"
"2005-12-22T00:00:00.000Z","09688","79445 "," 05616","65390 "," 42224 "," 19672 "," 43964 "," 05317 "," 31742","3237 "," 8564 "," 2201 "," 7837","0087 "," 5619 "," 1255 "," 5935 "," 2724 "," 5834","695 "," 688 "," 473","60 "," 82 "," 38 "," 69","76127"
"2005-12-23T00:00:00.000Z","25710","69084 "," 68691","41713 "," 04608 "," 66477 "," 55275 "," 70764 "," 18294","1119 "," 6233 "," 0829 "," 3878","3951 "," 8087 "," 6207 "," 4686 "," 5220 "," 9207","450 "," 452 "," 435","22 "," 67 "," 39 "," 78","21345"
"2005-12-24T00:00:00.000Z","88336","92448 "," 41493","53086 "," 11234 "," 08774 "," 31549 "," 82789 "," 81221","5358 "," 8388 "," 4929 "," 8062","2330 "," 1442 "," 7924 "," 4880 "," 6928 "," 7623","337 "," 272 "," 726","17 "," 77 "," 99 "," 89","65520"
"2005-12-25T00:00:00.000Z","03054","14490 "," 13518","81664 "," 32629 "," 93724 "," 81529 "," 79937 "," 62150","8238 "," 1503 "," 0912 "," 9459","8347 "," 3054 "," 6411 "," 3320 "," 5743 "," 4332","811 "," 217 "," 819","76 "," 92 "," 65 "," 17","41252"
"2005-12-26T00:00:00.000Z","17231","44589 "," 36008","83668 "," 57631 "," 93890 "," 96797 "," 97625 "," 23919","2317 "," 0983 "," 9091 "," 6121","2319 "," 1658 "," 2601 "," 8418 "," 0435 "," 8662","464 "," 503 "," 717","74 "," 69 "," 61 "," 05","44991"
